2021_7_3__22_24_35__866825.jpg,0.0,0.002
2021_7_3__22_24_35__887701.jpg,0.0,0.006
2021_7_3__22_24_35__936522.jpg,0.0,0.036
2021_7_3__22_24_35__986074.jpg,0.0,0.057
2021_7_3__22_24_36__36771.jpg,0.0,0.082
2021_7_3__22_24_36__91480.jpg,0.0,0.144
2021_7_3__22_24_36__140280.jpg,0.0,0.191
2021_7_3__22_24_36__192112.jpg,0.0,0.216
2021_7_3__22_24_36__242625.jpg,0.0,0.263
2021_7_3__22_24_36__293550.jpg,0.0,0.295
2021_7_3__22_24_36__343851.jpg,0.0,0.316
2021_7_3__22_24_36__399297.jpg,0.0,0.343
2021_7_3__22_24_36__448869.jpg,0.0,0.356
2021_7_3__22_24_36__497810.jpg,0.0,0.356
2021_7_3__22_24_36__547155.jpg,0.0,0.356
2021_7_3__22_24_36__597938.jpg,0.0,0.356
2021_7_3__22_24_36__647279.jpg,0.0,0.356
2021_7_3__22_24_36__697980.jpg,0.0,0.356
2021_7_3__22_24_36__752704.jpg,0.0,0.356
2021_7_3__22_24_36__804308.jpg,0.0,0.356
2021_7_3__22_24_36__855770.jpg,0.0,0.356
2021_7_3__22_24_36__905361.jpg,0.0,0.356
2021_7_3__22_24_36__954910.jpg,0.0,0.356
2021_7_3__22_24_37__11415.jpg,0.0,0.356
2021_7_3__22_24_37__60212.jpg,0.0,0.356
2021_7_3__22_24_37__112759.jpg,0.0,0.356
2021_7_3__22_24_37__161576.jpg,0.0,0.356
2021_7_3__22_24_37__211771.jpg,0.0,0.356
2021_7_3__22_24_37__261542.jpg,0.0,0.356
2021_7_3__22_24_37__310986.jpg,0.0,0.356
2021_7_3__22_24_37__363362.jpg,-0.007,0.356
2021_7_3__22_24_37__411359.jpg,-0.043,0.356
2021_7_3__22_24_37__469026.jpg,-0.08,0.356
2021_7_3__22_24_37__517043.jpg,-0.109,0.356
2021_7_3__22_24_37__566862.jpg,-0.116,0.356
2021_7_3__22_24_37__621605.jpg,-0.116,0.356
2021_7_3__22_24_37__673901.jpg,-0.13,0.356
2021_7_3__22_24_37__724106.jpg,-0.13,0.356
2021_7_3__22_24_37__776345.jpg,-0.13,0.356
2021_7_3__22_24_37__826404.jpg,-0.145,0.356
2021_7_3__22_24_37__882678.jpg,-0.145,0.356
2021_7_3__22_24_37__930199.jpg,-0.152,0.356
2021_7_3__22_24_37__978406.jpg,-0.152,0.356
2021_7_3__22_24_38__27626.jpg,-0.152,0.356
2021_7_3__22_24_38__80271.jpg,-0.152,0.356
2021_7_3__22_24_38__134959.jpg,-0.152,0.356
2021_7_3__22_24_38__184716.jpg,-0.152,0.356
2021_7_3__22_24_38__236124.jpg,-0.152,0.356
2021_7_3__22_24_38__286299.jpg,-0.152,0.356
2021_7_3__22_24_38__347409.jpg,-0.152,0.356
2021_7_3__22_24_38__396641.jpg,-0.152,0.356
2021_7_3__22_24_38__446262.jpg,-0.152,0.356
2021_7_3__22_24_38__503829.jpg,-0.152,0.356
2021_7_3__22_24_38__554245.jpg,-0.145,0.356
2021_7_3__22_24_38__606329.jpg,-0.145,0.356
2021_7_3__22_24_38__656432.jpg,-0.145,0.356
2021_7_3__22_24_38__712980.jpg,-0.101,0.356
2021_7_3__22_24_38__761463.jpg,-0.087,0.356
2021_7_3__22_24_38__811292.jpg,-0.065,0.356
2021_7_3__22_24_38__861406.jpg,-0.065,0.356
2021_7_3__22_24_38__912630.jpg,-0.065,0.356
2021_7_3__22_24_38__967160.jpg,-0.058,0.356
2021_7_3__22_24_39__16109.jpg,-0.058,0.356
2021_7_3__22_24_39__66244.jpg,-0.058,0.356
2021_7_3__22_24_39__120942.jpg,-0.058,0.356
2021_7_3__22_24_39__167744.jpg,-0.058,0.356
2021_7_3__22_24_39__219071.jpg,-0.058,0.356
2021_7_3__22_24_39__268523.jpg,-0.036,0.356
2021_7_3__22_24_39__317986.jpg,-0.036,0.356
2021_7_3__22_24_39__371947.jpg,-0.022,0.356
2021_7_3__22_24_39__421780.jpg,-0.022,0.356
2021_7_3__22_24_39__471683.jpg,-0.022,0.356
2021_7_3__22_24_39__522655.jpg,-0.022,0.356
2021_7_3__22_24_39__576210.jpg,-0.007,0.356
2021_7_3__22_24_39__630203.jpg,0.0,0.356
2021_7_3__22_24_39__680530.jpg,0.0,0.356
2021_7_3__22_24_39__730316.jpg,0.0,0.356
2021_7_3__22_24_39__783716.jpg,0.0,0.356
2021_7_3__22_24_39__830331.jpg,0.0,0.356
2021_7_3__22_24_39__885690.jpg,0.036,0.356
2021_7_3__22_24_39__936386.jpg,0.051,0.356
2021_7_3__22_24_39__985704.jpg,0.058,0.356
2021_7_3__22_24_40__38706.jpg,0.058,0.356
2021_7_3__22_24_40__86635.jpg,0.058,0.356
2021_7_3__22_24_40__136688.jpg,0.058,0.356
2021_7_3__22_24_40__186824.jpg,0.058,0.356
2021_7_3__22_24_40__236552.jpg,0.058,0.356
2021_7_3__22_24_40__287906.jpg,0.058,0.356
2021_7_3__22_24_40__338423.jpg,0.058,0.356
2021_7_3__22_24_40__389389.jpg,0.058,0.356
2021_7_3__22_24_40__439608.jpg,0.058,0.356
2021_7_3__22_24_40__490462.jpg,0.058,0.356
2021_7_3__22_24_40__541379.jpg,0.058,0.356
2021_7_3__22_24_40__596788.jpg,0.058,0.356
2021_7_3__22_24_40__643084.jpg,0.058,0.356
2021_7_3__22_24_40__692610.jpg,0.058,0.356
2021_7_3__22_24_40__741944.jpg,0.058,0.356
2021_7_3__22_24_40__791567.jpg,0.058,0.356
2021_7_3__22_24_40__841495.jpg,0.058,0.356
2021_7_3__22_24_40__890902.jpg,0.058,0.356
2021_7_3__22_24_40__940747.jpg,0.058,0.356
2021_7_3__22_24_40__990974.jpg,0.058,0.356
2021_7_3__22_24_41__41083.jpg,0.058,0.356
2021_7_3__22_24_41__91433.jpg,0.058,0.365
2021_7_3__22_24_41__141375.jpg,0.058,0.464
2021_7_3__22_24_41__191285.jpg,0.058,0.505
2021_7_3__22_24_41__241967.jpg,0.058,0.528
2021_7_3__22_24_41__291252.jpg,0.058,0.543
2021_7_3__22_24_41__341236.jpg,0.058,0.562
2021_7_3__22_24_41__392385.jpg,0.058,0.579
2021_7_3__22_24_41__442623.jpg,0.058,0.579
2021_7_3__22_24_41__492714.jpg,0.058,0.579
2021_7_3__22_24_41__542789.jpg,0.058,0.579
2021_7_3__22_24_41__592761.jpg,0.058,0.579
2021_7_3__22_24_41__642707.jpg,0.058,0.579
2021_7_3__22_24_41__692767.jpg,0.058,0.579
2021_7_3__22_24_41__743128.jpg,0.058,0.579
2021_7_3__22_24_41__793910.jpg,0.058,0.579
2021_7_3__22_24_41__843873.jpg,0.058,0.579
2021_7_3__22_24_41__893884.jpg,0.058,0.579
2021_7_3__22_24_41__944059.jpg,0.058,0.579
2021_7_3__22_24_41__994580.jpg,0.058,0.579
2021_7_3__22_24_42__44391.jpg,0.058,0.579
2021_7_3__22_24_42__94543.jpg,0.058,0.579
2021_7_3__22_24_42__144581.jpg,0.058,0.579
2021_7_3__22_24_42__194575.jpg,0.058,0.579
2021_7_3__22_24_42__245748.jpg,0.058,0.579
2021_7_3__22_24_42__294913.jpg,0.058,0.579
2021_7_3__22_24_42__345625.jpg,0.058,0.579
2021_7_3__22_24_42__395401.jpg,0.058,0.579
2021_7_3__22_24_42__445533.jpg,0.058,0.579
2021_7_3__22_24_42__495721.jpg,0.058,0.579
2021_7_3__22_24_42__545624.jpg,0.058,0.579
2021_7_3__22_24_42__595548.jpg,0.058,0.579
2021_7_3__22_24_42__646901.jpg,0.058,0.579
2021_7_3__22_24_42__696881.jpg,0.058,0.579
2021_7_3__22_24_42__746935.jpg,0.058,0.579
2021_7_3__22_24_42__796704.jpg,0.058,0.579
2021_7_3__22_24_42__846908.jpg,0.058,0.579
2021_7_3__22_24_42__897149.jpg,0.058,0.579
2021_7_3__22_24_42__947316.jpg,0.058,0.579
2021_7_3__22_24_42__997790.jpg,0.058,0.579
2021_7_3__22_24_43__47987.jpg,0.058,0.579
2021_7_3__22_24_43__97701.jpg,0.058,0.579
2021_7_3__22_24_43__148446.jpg,0.058,0.579
2021_7_3__22_24_43__198666.jpg,0.058,0.579
2021_7_3__22_24_43__250423.jpg,0.058,0.579
2021_7_3__22_24_43__302095.jpg,0.058,0.579
2021_7_3__22_24_43__351322.jpg,0.058,0.579
2021_7_3__22_24_43__400942.jpg,0.058,0.579
2021_7_3__22_24_43__450652.jpg,0.058,0.579
2021_7_3__22_24_43__500724.jpg,0.058,0.579
2021_7_3__22_24_43__550681.jpg,0.058,0.579
2021_7_3__22_24_43__600782.jpg,0.058,0.579
2021_7_3__22_24_43__650670.jpg,0.058,0.579
2021_7_3__22_24_43__700706.jpg,0.058,0.579
2021_7_3__22_24_43__750869.jpg,0.058,0.579
2021_7_3__22_24_43__800746.jpg,0.058,0.579
2021_7_3__22_24_43__850842.jpg,0.058,0.579
2021_7_3__22_24_43__900947.jpg,0.058,0.579
2021_7_3__22_24_43__950910.jpg,0.029,0.579
2021_7_3__22_24_44__926.jpg,0.014,0.579
2021_7_3__22_24_44__51212.jpg,0.007,0.579
2021_7_3__22_24_44__101370.jpg,-0.007,0.579
